KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
HullCombatThinLargeBlocks,Combat Steel Thin Blocks (Large),,Blocs acier militaire L(fin),,,,,,,,,,,,,,
HullDestroyed,Steel Blocks - Damaged,,Blocs acier - détruits,,,,,,,,,,,,,,
HullFull,Steel Block,,Bloc acier,,,,,,,,,,,,,,
HullFullLarge,Steel Block (Large),,Bloc acier L,,,,,,,,,,,,,,
HullFullLargeDestroyed,Steel Block (Large) - Damaged,,Bloc acier L - détruit,,,,,,,,,,,,,,
HullFullSmall,Steel Block (Small),,Bloc acier S,,,,,,,,,,,,,,
HullFullSmallDestroyed,Steel Block (Small) - Damaged,,Bloc acier S - détruit,,,,,,,,,,,,,,
HullLargeBlocks,Steel Blocks (Large),,Blocs acier L,,,,,,,,,,,,,,
HullLargeDestroyedBlocks,Steel Blocks (Large) - Damaged,,Blocs acier L - détruits,,,,,,,,,,,,,,
HullSmallBlocks,Steel Blocks (Small),,Blocs acier S,,,,,,,,,,,,,,
HullSmallDestroyedBlocks,Steel Blocks (Small) - Damaged,,Blocs acier S - détruits,,,,,,,,,,,,,,
HullThin,Steel Block,,Bloc acier (fin),,,,,,,,,,,,,,
HullThinLarge,Steel Block (Large),,Bloc acier L (fin),,,,,,,,,,,,,,
HullThinLargeBlocks,Steel Thin Blocks (Large),,Bocs acier L (fin),,,,,,,,,,,,,,
HullThinLargeDestroyed,Steel Thin Blocks (Large) - Damaged,,Blocs acier L (fin) - détruits,,,,,,,,,,,,,,
HullThinSmall,Steel Block (Small),,Bloc acier S (fin),,,,,,,,,,,,,,
HullThinSmallBlocks,Steel Thin Blocks (Small),,Blocs acier S (fin),,,,,,,,,,,,,,
HullThinSmallDestroyed,Steel Thin Blocks (Small) - Damaged,,Blocs acier S (fin) - détruits,,,,,,,,,,,,,,
TrussLargeBlocks,Truss Blocks (Large),,Blocs treillis L,,,,,,,,,,,,,,
TrussSmallBlocks,Truss Blocks (Small),,Blocs treillis S,,,,,,,,,,,,,,
WoodThinBlocks,Wood Blocks,,Blocs bois (fin),,,,,,,,,,,,,,
AkuaFernDeco,Fern,,Fougère,,,,,,,,,,,,,,
AlienPalmTreeDeco,Firepalm Tree,,Palmier Alien,,,,,,,,,,,,,,
AlienTentacleDeco,Tentacle Tree,,Tentacule Alien,,,,,,,,,,,,,,
Antenna,Tri-Beam Antenna,,Antenne à trois faisceaux,,,,,,,,,,,,,,
Antenna01,Shortwave Transmitter,,Émetteur à ondes courtes,,,,,,,,,,,,,,
Antenna02,Wideband Receiver,,Récepteur large bande,,,,,,,,,,,,,,
Antenna03,Radar Receiver,,Récepteur Radar,,,,,,,,,,,,,,
Antenna04,Antenna Spike,,Antenne Spike,,,,,,,,,,,,,,
Antenna05,Radar Tracking Beacon,,Balise de suivi radar,,,,,,,,,,,,,,
AntennaBlocks,Antennas,,Antennes,,,,,,,,,,,,,,
BathroomCounter,Bathroom Counter,,Salle de bain Vanity,,,,,,,,,,,,,,
Bed,Double Bed,,Lit 2,,,,,,,,,,,,,,
Bookshelf,Bookshelf,,Étagère,,,,,,,,,,,,,,
BunkBed,Bunk Bed,,Lits de camp superposés,,,,,,,,,,,,,,
CapacitorMS,Large Capacitor,,Condensateur (déco),,,,,,,,,,,,,,
CapacitorSS,Small Capacitor,,Condensateur VL (déco),,,,,,,,,,,,,,
ConsoleLargeMS01,Power Regulator Console,,Console (déco),,,,,,,,,,,,,,
ConsoleLargeMS01a,System Console,,Console (déco),,,,,,,,,,,,,,
ConsoleLargeMS02,Advanced System Console,,Console (déco),,,,,,,,,,,,,,
ConsoleMapMS01,Mapping Console,,Console (déco),,,,,,,,,,,,,,
ConsoleMS01,Computer Terminal,,Console (déco),,,,,,,,,,,,,,
ConsoleSmallMS01,Access Terminal,,Console (déco),,,,,,,,,,,,,,
ConsoleSmalNPC,Console (Occupied),,Console PNJ,,,,,,,,,,,,,,
ControlStation,Control Station,,Poste de contrôle,,,,,,,,,,,,,,
ControlStationNPC,Control Station (Occupied),,Poste de contrôle PNJ,,,,,,,,,,,,,,
DecoBlocks,Furnishings,,Ameublement (Déco),,,,,,,,,,,,,,
DecoBlocks2,Tech Equipment,,Équipement technique (Déco),,,,,,,,,,,,,,
ElderberryBushBlueDeco,Akuaberry Bush,,Buisson bleu,,,,,,,,,,,,,,
ElderberryBushDeco,Akuaberry Bush,,Buisson vert 02,,,,,,,,,,,,,,
FantasyPlant1Deco,Lava Plant,,Plante de lave Alien,,,,,,,,,,,,,,
GlowTube01Deco,Glow Tube Flower,,Plante Néon,,,,,,,,,,,,,,
HollywoodJuniperDeco,Juniper Bush,,Buisson vert 01,,,,,,,,,,,,,,
HoloScreen01,Holographic Display,,Écran holographique 01,,,,,,,,,,,,,,
HoloScreen02,Holographic Radiation Display,,Écran holographique 02,,,,,,,,,,,,,,
HoloScreen03,Holographic Radar Display,,Écran holographique 03,,,,,,,,,,,,,,
HoloScreen04,Holographic Terminal,,Écran holographique 04,,,,,,,,,,,,,,
HoloScreen05,Holographic Ship Display,,Écran holographique 05,,,,,,,,,,,,,,
IndoorPlant01,Potted Palm,,Plante artificielle d'intérieur 1,,,,,,,,,,,,,,
IndoorPlant02,Potted Plant,,Plante artificielle d'intérieur 2,,,,,,,,,,,,,,
IndoorPlant03,Potted Plant,,Plante artificielle d'intérieur 3,,,,,,,,,,,,,,
IndoorPlants,Indoor Plants,,Plantes artificielles (Déco),,,,,,,,,,,,,,
KitchenCounter,Kitchen Counter,,Cuisine comptoir,,,,,,,,,,,,,,
KitchenTable,Basic Table,,Table à manger,,,,,,,,,,,,,,
LabTable1,Specimen Table,,Table laboratoire 1,,,,,,,,,,,,,,
LabTable2,Lab Desk,,Table laboratoire 2,,,,,,,,,,,,,,
LabTable3,Lab Table,,Table laboratoire 3,,,,,,,,,,,,,,
Level4Prop2,Wide Repository,,Stockage 1,,,,,,,,,,,,,,
Level4Prop3,Small Repository,,Stockage 2,,,,,,,,,,,,,,
Level4Prop4,Large Repository,,Stockage 3,,,,,,,,,,,,,,
Level5FreezerOpened,Cryo Chamber,,Chambre Cryo,,,,,,,,,,,,,,
LockerWShelves,Lockers,,Casier,,,,,,,,,,,,,,
OnionFlowerDeco,Mega Onion Flower,,Fleur oignon Alien,,,,,,,,,,,,,,
OperationTableWDrawers,Medical Cabinet,,Console d'opération,,,,,,,,,,,,,,
Props6BoxLarge1,Chilled Cabinet,,Grand container 1,,,,,,,,,,,,,,
Props6BoxLarge2,Chilled Cabinet,,Grand container 2,,,,,,,,,,,,,,
Props6BoxMedium1,Cold Box,,Container médium,,,,,,,,,,,,,,
ReceptionTable,Reception Table,,Table Accueil,,,,,,,,,,,,,,
ReceptionTableCorner,Reception Table Corner,,Table Accueil courbe,,,,,,,,,,,,,,
ReceptionTableCornerThin,Reception Table Corner - Thin,,Coin de Table Accueil (fin),,,,,,,,,,,,,,
ReceptionTableNPC,Reception Table (Occupied),,Table Accueil PNJ,,,,,,,,,,,,,,
ReceptionTableThin,Reception Table - Thin,,Table Accueil (fin),,,,,,,,,,,,,,
SciencelabMS,Science Lab,,Laboratoire (déco),,,,,,,,,,,,,,
ScifiBed,Bed,,Lit,,,,,,,,,,,,,,
ScifiChair,Chair,,Siège,,,,,,,,,,,,,,
ScifiComputerTable,Computer Table,,Console (déco),,,,,,,,,,,,,,
ScifiContainer1,Industrial Cargo Container,,Container 1,,,,,,,,,,,,,,
ScifiContainer2,Industrial Cargo Box,,Container 2,,,,,,,,,,,,,,
ScifiContainerEnergy,Capacitory Relay,,Stockage accumulateurs (déco),,,,,,,,,,,,,,
ScifiContainerPower,Framed Industrial Cargo Container,,Container 3,,,,,,,,,,,,,,
ScifiLargeSofa,Bench,,Banc,,,,,,,,,,,,,,
ScifiLargeSofaNPC,Bench (Occupied),,Banc 2 PNJ,,,,,,,,,,,,,,
ScifiMediaCenter,Holographic Data Display,,Ensemble Multimédia,,,,,,,,,,,,,,
ScifiNightstand,Small Table,,Table,,,,,,,,,,,,,,
ScifiPlant,Potted Lily,,Plante artificielle d'intérieur 4,,,,,,,,,,,,,,
ScifiSofa,Padded Bench,,Banc 2,,,,,,,,,,,,,,
ScifiSofaNPC,Padded Bench (Occupied),,Banc PNJ,,,,,,,,,,,,,,
ScifiStorage,Closet,,Meuble de rangement,,,,,,,,,,,,,,
ScifiTable,Table,,Table,,,,,,,,,,,,,,
ScifiTableNPC,Table (Occupied),,Table 1 PNJ,,,,,,,,,,,,,,
ScifiTableNPC2,Table (Occupied),,Table 2 PNJ,,,,,,,,,,,,,,
ScifiTableNPC3,Table (Occupied),,Tablee 3 PNJ,,,,,,,,,,,,,,
ScifiTableV2,Meeting Table,,Table 2,,,,,,,,,,,,,,
ScifiTableV2NPC,Table (Occupied),,Table 2 PNJ,,,,,,,,,,,,,,
Shower,Shower,,Douche,,,,,,,,,,,,,,
SmallTable,Coffee Table,,Table basse,,,,,,,,,,,,,,
Sofa,Sofa,,Sofa,,,,,,,,,,,,,,
SofaNPC,Sofa (Occupied),,Canapé PNJ,,,,,,,,,,,,,,
SolarBlock,Solar Panel Slope,,Panneau solaire incliné,,,,,,,,,,,,,,
SolarPanel,Solar Panel Plate,,Panneau solaire,,,,,,,,,,,,,,
StandingNPC,Citizen,,PNJ debout,,,,,,,,,,,,,,
StandingNPC2,Citizen,,PNJ 2 debout,,,,,,,,,,,,,,
TableTV,Plasma Screen TV,,Meuble télé,,,,,,,,,,,,,,
Tank1,Affixed Tank,,Réservoir 1,,,,,,,,,,,,,,
Tank2,Fluid Tank,,Réservoir 2,,,,,,,,,,,,,,
Toilet,Toilet,,Toilettes,,,,,,,,,,,,,,
TurretRadar,Radar Dish,,Radar (Déco),,,,,,,,,,,,,,
AlienDeviceBlocks,Alien Blocks,,Blocs Alien,,,,,,,,,,,,,,
ArmorLocker,Armor Locker,,Casier armures,,,,,,,,,,,,,,
ArmorLockerSV,Armor Locker (Small),,Casier armures (SV/HV),,,,,,,,,,,,,,
ATM,ATM,,Guichet automatique,,,,,,,,,,,,,,
AutoMinerCore,Auto Miner Core,,Noyau Auto-mineur,,,,,,,,,,,,,,
AutoMiningDeviceT1,Auto Mining Device (Basic),,Auto-mineur v1,,,,,,,,,,,,,,
AutoMiningDeviceT2,Auto Mining Device (Improved),,Auto-mineur v2,,,,,,,,,,,,,,
AutoMiningDeviceT3,Auto Mining Device (Advanced),,Auto-mineur v3,,,,,,,,,,,,,,
Backpack,Backpack,,Sac à dos,,,,,,,,,,,,,,
CloneChamber,Clone Chamber,,Chambre de clonage,,,,,,,,,,,,,,
CockpitBlocksCV,Control Stations,,Cockpits CV,,,,,,,,,,,,,,
CockpitBlocksSV,Cockpits,,Cockpits SV/HV,,,,,,,,,,,,,,
CockpitMS01,Cockpit 1,,Cockpit 1,,,,,,,,,,,,,,
CockpitMS02,Cockpit 2,,Cockpit 2,,,,,,,,,,,,,,
CockpitMS03,Cockpit 3,,Cockpit 3,,,,,,,,,,,,,,
CockpitOpen2SV,Cockpit 2 (open),,Cockpit 2 (ouvert),,,,,,,,,,,,,,
CockpitOpenSV,Cockpit 1 (open),,Cockpit 1 (ouvert),,,,,,,,,,,,,,
CockpitSV,Cockpit (obsolete),,Cockpit,,,,,,,,,,,,,,
CockpitSV_fighter,Cockpit (obsolete),,Cockpit,,,,,,,,,,,,,,
CockpitSV_fighter_Noscale,Cockpit (obsolete),,Cockpit,,,,,,,,,,,,,,
CockpitSV_ShortRange,Cockpit 2,,Cockpit 2,,,,,,,,,,,,,,
CockpitSV01,Cockpit 1,,Cockpit 1,,,,,,,,,,,,,,
CockpitSV02,Cockpit 3 (Legacy),,Cockpit 1 (ancien),,,,,,,,,,,,,,
CockpitSV02New,Cockpit 3,,Cockpit 3,,,,,,,,,,,,,,
CockpitSV03,Cockpit 8 (Legacy),,Cockpit 8 (ancien),,,,,,,,,,,,,,
CockpitSV04,Cockpit 4,,Cockpit 4,,,,,,,,,,,,,,
CockpitSV05,Cockpit 5 (Legacy),,Cockpit 2 (ancien),,,,,,,,,,,,,,
CockpitSV05New,Cockpit 5,,Cockpit 5,,,,,,,,,,,,,,
CockpitSV06,Cockpit 6,,Cockpit 6,,,,,,,,,,,,,,
CockpitSV07,Cockpit 6 (Legacy),,Cockpit 4 (ancien),,,,,,,,,,,,,,
CockpitSV07New,Cockpit 7,,Cockpit 7,,,,,,,,,,,,,,
ConsoleBlocks,Consoles (Deco),,Consoles (Déco),,,,,,,,,,,,,,
ConstructorMS,Old Large Constructo,,Grand Constructeur,,,,,,,,,,,,,,
ConstructorRecursive,Ancient Constructor,,Constructeur avancé,,,,,,,,,,,,,,
ConstructorSV_Old,Mobile Constructor (old - please replace),,Constructeur mobile (obsolète - à remplacer),,,,,,,,,,,,,,
ConstructorT1,Large Constructor (old - please replace),,Grand Constructeur(obsolète - à remplacer),,,,,,,,,,,,,,
ConstructorT1V2,Large Constructor,,Grand Constructeur,,,,,,,,,,,,,,
ConstructorT2,Advanced Constructor,,Constructeur avancé,,,,,,,,,,,,,,
ContainerAmmoSmall,Small Ammo Box,,Petite caisse de munitions,,,,,,,,,,,,,,
ContainerBlocks,Cargo Containers,,Containers,,,,,,,,,,,,,,
ContainerHarvest,Harvest Container,,Container de récolte,,,,,,,,,,,,,,
ContainerMS01,Cargo Box,,Container,,,,,,,,,,,,,,
ContainerPersonal,Personal Locker,,Casiers personnels,,,,,,,,,,,,,,
ContainerRandom,Cargo Box (POI),,Container (POI),,,,,,,,,,,,,,
ContainerUltraRare,Cargo Box (POI) - Ultra Rare,,Container très rare (POI),,,,,,,,,,,,,,
CoreEnemy,Alien Core,,Noyau Alien,,,,,,,,,,,,,,
CoreEnemyAdmin,Alien Core (Admin),,Noyau Alien (Admin),,,,,,,,,,,,,,
CoreFlyDir,Core (obsolete),,Noyau (obsolète),,,,,,,,,,,,,,
CorePlayer,Core,,Noyau,,,,,,,,,,,,,,
CorePlayerAdmin,Core (Admin),,Noyau (Admin),,,,,,,,,,,,,,
DockingPad,Docking Pad,,Système d'arrimage,,,,,,,,,,,,,,
DoorArmored,Automatic Armored Door,,Porte auto blindée,,,,,,,,,,,,,,
DoorArmoredBlocks,Armored Automatic Doors,,Portes automatiques blindées,,,,,,,,,,,,,,
DoorBlocks,Automatic Doors,,Portes automatiques,,,,,,,,,,,,,,
DoorBlocksSV,Manual Doors,,Portes manuelles,,,,,,,,,,,,,,
DoorInterior01,Smooth Automatic Door,,Porte auto 2,,,,,,,,,,,,,,
DoorInterior01SlimSV,Manual Interior Door (Slim),,Porte intérieure manuelle (étroite),,,,,,,,,,,,,,
DoorInterior01SV,Manual Interior Door,,Porte intérieure manuelle,,,,,,,,,,,,,,
DoorInterior02,Glass Automatic Door,,Porte auto 3,,,,,,,,,,,,,,
DoorMS01,Windowed Automatic Door,,Porte auto 1,,,,,,,,,,,,,,
DoorSS01,Manual Door,,Porte manuelle,,,,,,,,,,,,,,
DoorSS01Slim,Manual Door (Slim),,Porte manuelle (étroite),,,,,,,,,,,,,,
DoorVertical,Vertical Automatic Door,,Porte auto 1 (verticale),,,,,,,,,,,,,,
DoorVerticalArmored,Vertical Armored Door,,Porte auto blindée (verticale),,,,,,,,,,,,,,
DoorVerticalGlass,Vertical Armored Glass Door,,Porte auto 2 (verticale),,,,,,,,,,,,,,
DropContainer,Drop Container,,Container,,,,,,,,,,,,,,
ElevatorMS,Elevator Frame,,Ascenseur,,,,,,,,,,,,,,
Flare,Flare,,Balise lumineuse,,,,,,,,,,,,,,
FoodProcessorMS,Food Processor (old - please replace),,Robot ménager (obsolète - à remplacer),,,,,,,,,,,,,,
FoodProcessorV2,Food Processor,,Synthétiseur moléculaire,,,,,,,,,,,,,,
FridgeSV,Fridge,,Frigo,,,,,,,,,,,,,,
FuelTankMSLarge,Fuel Tank (Medium),,Réservoir de carburant v2,,,,,,,,,,,,,,
FuelTankMSLargeT2,Fuel Tank (Large),,Réservoir de carburant v3,,,,,,,,,,,,,,
FuelTankMSSmall,Fuel Tank (Small),,Réservoir de carburant v1,,,,,,,,,,,,,,
FuelTankPOI,Fuel Tank POI,,Réservoir de carburant POI,,,,,,,,,,,,,,
FuelTankSV,Fuel Tank,,Réservoir de carburant,,,,,,,,,,,,,,
Furnace,Furnace,,Fourneau,,,,,,,,,,,,,,
GeneratorBA,Generator,,Petit générateur,,,,,,,,,,,,,,
GeneratorMS,Large Generator,,Grand générateur v1,,,,,,,,,,,,,,
GeneratorMST2,Advanced Generator,,Grand générateur v2,,,,,,,,,,,,,,
GeneratorSV,Small Generator,,Générateur,,,,,,,,,,,,,,
GravityGeneratorMS,Gravity Generator,,Générateur de gravité,,,,,,,,,,,,,,
HoverBooster,Hover Booster,,Booster Hover,,,,,,,,,,,,,,
HoverEngineLarge,Large Hover Engine,,Moteur Hover v2,,,,,,,,,,,,,,
HoverEngineSmall,Small Hover Engine,,Moteur Hover v1,,,,,,,,,,,,,,
HydrogenBottle,Hydrogen Bottle,,Bouteille H²,,,,,,,,,,,,,,
LandinggearBlocksCV,Landing Gears,,Trains d'atterrissage,,,,,,,,,,,,,,
LandinggearBlocksHeavySV,Landing Gears (Heavy),,trains d'atterrissage v2,,,,,,,,,,,,,,
LandinggearBlocksSV,Landing Gears (Small),,Trains d'atterrissage v1,,,,,,,,,,,,,,
LightBarrier,Laser Tripwire,,Barrière lumineuse,,,,,,,,,,,,,,
LightInterior01,Light 5,,Éclairage 5,,,,,,,,,,,,,,
LightInterior02,Light 6,,Éclairage 6,,,,,,,,,,,,,,
LightLantern,Light (Lantern),,Lampadaire,,,,,,,,,,,,,,
LightLargeBlocks,Lights,,Éclairages,,,,,,,,,,,,,,
LightMS01,Light 1,,Éclairage 1,,,,,,,,,,,,,,
LightMS01Corner,Light 1 (Corner),,Éclairage 1 (coin),,,,,,,,,,,,,,
LightMS01Offset,Light 1 (not centered),,Éclairage 1 (décentré),,,,,,,,,,,,,,
LightMS02,Light 2,,Éclairage 2,,,,,,,,,,,,,,
LightMS03,Light 3,,Éclairage 3,,,,,,,,,,,,,,
LightMS04,Light 4,,Éclairage 4,,,,,,,,,,,,,,
LightPlant01,Hydroponics Lamp,,Lampe horticole,,,,,,,,,,,,,,
LightSS01,Light,,Éclairage,,,,,,,,,,,,,,
LightWork,Portable Work Light,,Éclairage 1,,,,,,,,,,,,,,
LightWork02,Portable Work Lamp,,Éclairage 2,,,,,,,,,,,,,,
MedicinelabMS,Biomedical Chamber,,Station médicale,,,,,,,,,,,,,,
MotionSensor,Motion Sensor,,Détecteur de mouvement,,,,,,,,,,,,,,
OfflineProtector,Offline Protection,,Protection offline,,,,,,,,,,,,,,
OxygenBottleLarge,Oxygen Bottle,,Grosse bouteille O²,,,,,,,,,,,,,,
OxygenBottleSmall,Oxygen Canister,,Petite bouteille O²,,,,,,,,,,,,,,
OxygenGenerator,Oxygen Extractor,,Générateur O²,,,,,,,,,,,,,,
OxygenHydrogenGenerator,Hydrogen Extractor,,Générateur H²,,,,,,,,,,,,,,
OxygenStation,Oxygen Station,,Station O²,,,,,,,,,,,,,,
OxygenStationSS,Oxygen Station,,Station O²,,,,,,,,,,,,,,
OxygenStationSV,Oxygen Station,,Station O²,,,,,,,,,,,,,,
OxygenTankEscapePod,O2 Tank,,Réservoir O²,,,,,,,,,,,,,,
OxygenTankMS,Large Oxygen Tank,,Grand réservoir O²,,,,,,,,,,,,,,
OxygenTankSmallMS,Small Oxygen Tank,,Petit réservoir O²,,,,,,,,,,,,,,
OxygenTankSV,Oxygen Tank,,Réservoir O²,,,,,,,,,,,,,,
PassengerSeat2SV,Passenger Seat,,Siège passager,,,,,,,,,,,,,,
PassengerSeatSV,Passenger Compartment,,Siège passager (fermé),,,,,,,,,,,,,,
RCSBlockGV,RCS,,Gyroscope,,,,,,,,,,,,,,
RCSBlockMS,Large RCS,,Gyroscope v1,,,,,,,,,,,,,,
RCSBlockMS_T2,Advanced RCS,,Gyroscope v2,,,,,,,,,,,,,,
RCSBlockSV,RCS,,Gyroscope,,,,,,,,,,,,,,
RepairBayBA,Repair Bay,,Plateforme de réparation v1 BA,,,,,,,,,,,,,,
RepairBayCV,Repair Bay,,Plateforme de réparation v1 CV,,,,,,,,,,,,,,
RepairStation,Repair Station,,Station de réparation,,,,,,,,,,,,,,
SensorTriggerBlocks,Sensors and Signals,,Capteurs et Déclencheurs BA/CV,,,,,,,,,,,,,,
ThrusterGVDirectional,Small Thruster,,Propulseur S,,,,,,,,,,,,,,
ThrusterGVRoundArmored,Enclosed Medium Thruster,,Propulseur encastré M,,,,,,,,,,,,,,
ThrusterGVRoundBlocks,Medium Thrusters,,Propulseurs M,,,,,,,,,,,,,,
ThrusterGVRoundNormal,Medium Thruster,,Propulseur standard M,,,,,,,,,,,,,,
ThrusterGVRoundSlant,Sloped Medium Thruster,,Propulseur incliné M,,,,,,,,,,,,,,
ThrusterJetRound1x3x1,Small Jet Thruster,,Propulseur Jet S (1x3x1),,,,,,,,,,,,,,
ThrusterJetRound2x5x2,Medium Jet Thruster,,Propulseur Jet M (2x5x2),,,,,,,,,,,,,,
ThrusterJetRound3x10x3,Improved Jet Thruster,,Propulseur Jet XL (3x10x3),,,,,,,,,,,,,,
ThrusterJetRound3x13x3,Advanced Jet Thruster,,Propulseur Jet XXL (3x13x3),,,,,,,,,,,,,,
ThrusterJetRound3x7x3,Large Jet Thruster,,Propulseur Jet L (3x7x3),,,,,,,,,,,,,,
ThrusterMSDirectional,Small Thruster,,Propulseur S,,,,,,,,,,,,,,
ThrusterMSRound2x2Blocks,Advanced Thrusters,,Propulseurs L,,,,,,,,,,,,,,
ThrusterMSRound3x3Blocks,Drive Thrusters,,Propulseurs XL,,,,,,,,,,,,,,
ThrusterMSRoundArmored,Enclosed Medium Thruster,,Propulseur encastré M,,,,,,,,,,,,,,
ThrusterMSRoundArmored2x2,Enclosed Advanced Thruster,,Propulseur encastré l,,,,,,,,,,,,,,
ThrusterMSRoundArmored3x3,Enclosed Drive Thruster,,Propulseur encastré XL,,,,,,,,,,,,,,
ThrusterMSRoundBlocks,Medium Thrusters,,Propulseurs M,,,,,,,,,,,,,,
ThrusterMSRoundNormal,Medium Thruster,,Propulseur standard M,,,,,,,,,,,,,,
ThrusterMSRoundNormal2x2,Advanced Thruster,,Propulseur standard L,,,,,,,,,,,,,,
ThrusterMSRoundNormal3x3,Drive Thruster,,Propulseur standard XL,,,,,,,,,,,,,,
ThrusterMSRoundSlant,Sloped Medium Thruster,,Propulseur incliné M,,,,,,,,,,,,,,
ThrusterMSRoundSlant2x2,Sloped Advanced Thruster,,Grand incliné L,,,,,,,,,,,,,,
ThrusterMSRoundSlant3x3,Sloped Drive Thruster,,Propulseur incliné XL,,,,,,,,,,,,,,
ThrusterSVDirectional,Small Thruster,,Propulseur S,,,,,,,,,,,,,,
ThrusterSVRoundArmored,Enclosed Medium Thruster,,Propulseur encastré M,,,,,,,,,,,,,,
ThrusterSVRoundAtmo,Medium Thruster,,Propulseur long M,,,,,,,,,,,,,,
ThrusterSVRoundBlocks,Medium Thrusters,,Propulseurs M,,,,,,,,,,,,,,
ThrusterSVRoundNormal,Medium Thruster,,Propulseurstandard M,,,,,,,,,,,,,,
ThrusterSVRoundSlant,Sloped Medium Thruster,,Propulseur incliné M,,,,,,,,,,,,,,
WaterGenerator,Water Extractor,,Générateur d'eau,,,,,,,,,,,,,,
bkiCockpit,Required on every vessel to pilot the vessel,,Requis sur chaque navire pour piloter le navire,,,,,,,,,,,,,,
bkiContainer,Standard storage container with logistics connectivity,,Conteneur de stockage standard avec connectivité logistique,,,,,,,,,,,,,,
bkiCore,Central processing unit required on every structure. The structure will lose all functionality when destroyed.,,"Le Noyau est indispensable pour toute structure. Lorsqu'il est détruit, la structure n'est plus contrôlable.",,,,,,,,,,,,,,
bkiPlayerArmor,"Armor provides protection from environmental and damage.\nEach suit includes a Jetpack (J), A spotlight (L) and Oxygen Tanks for oxygenless environments.\n\n[c][00FF00]An Armor Locker is required to equip or modify your suit.",,"L'armure fournit une protection contre l'environnement et les dommages.\nChaque combinaison comprend un Jetpack (J), un projecteur (L) et des réservoirs d'oxygène pour les environnements sans oxygène.\n\n[c][00FF00]Un casier d'armure est nécessaire pour équiper ou modifier votre combinaison.",,,,,,,,,,,,,,
bkiPlayerBike,A solar-powered deployable motorcycle for travelling around faster than walking. Lacks suspension and will despawn after 25 min if it is not used.,,"Une moto déployable à l'énergie solaire pour se déplacer plus rapidement qu'à pied. Si non utilisée, elle se mettra en mode ""économie d'énergie"" au bout de 5mn, et disparaîtra après 25mn.",,,,,,,,,,,,,,
bkiThruster,Main thruster unit for main propulsion,,Unité de propulsion principale pour la propulsion principale,,,,,,,,,,,,,,
bkiThrusterDirectional,Smaller thruster unit for secondary propulsion,,Unité de propulsion plus petite pour la propulsion secondaire,,,,,,,,,,,,,,
bkiTruss,Light building block,,Bloc de construction léger,,,,,,,,,,,,,,
