KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
txt_oiqaF,"First I draw cards for you, then for myself. Whoever comes closest to Number 21 wins. The card I draw has the number from 1 to 11. After each card you have the choice to stop.\nIf you win, you get my part on top of your bet.",,"D'abord je pioche des cartes pour toi, puis pour moi. Celui qui se rapproche le plus du numéro 21 gagne. La carte que je tire porte le numéro de 1 à 11. Après chaque carte, vous avez le choix d'arrêter.\nSi vous gagnez, vous obtenez ma part en plus de votre mise.",,,,,,,,,,,,,,
txt_emqJ4,"Ok thanks, I got it <i><color=#ffffff>(Back)</color></i>",,"Ok merci, j'ai compris <i><color=#ffffff>(Arrière)</color></i>",,,,,,,,,,,,,,
txt_80qd8,"Wait, how does it work?",,"Attends, comment ça marche ?",,,,,,,,,,,,,,
txt_O4ame,You lost 20 times on my table by now. Come back later and think about getting a real job maybe.,,Tu as perdu 20 fois sur ma table maintenant. Revenez plus tard et pensez peut-être à trouver un vrai travail.,,,,,,,,,,,,,,
txt_KaO0m,It's you again! Our Management ordered me to refuse playing with you. Come back later.,,C'est encore toi! Notre direction m'a ordonné de refuser de jouer avec vous. Revenez plus tard.,,,,,,,,,,,,,,
txt_eeUSG,Can you tell me my Statistics first?,,Pouvez-vous d'abord me dire mes statistiques ?,,,,,,,,,,,,,,
txt_WKaie,On my table you played <color=#ffffff>{GamesPlayed}</color> times.\n\nYou <color=#019245>won {TableGamesWon}</color> times.\nYou <color=#cf0707>lost {TableGamesLost}</color> times.\n\nYou <color=#019245>won {TableCoinsWon}</color> <color=#fddc1e>Gold Coins</color>.\nYou <color=#cf0707>lost {TableCoinsLost}</color> <color=#fddc1e>Gold Coins</color>.,,"Sur ma table, vous avez joué <color=#ffffff>{GamesPlayed}</color> fois.\n\nVous avez <color=#019245>gagné {TableGamesWon}</color> fois.\nVous <color=#cf0707>perdez { TableGamesLost}</color> fois.\n\nVous <color=#019245>avez gagné {TableCoinsWon}</color> <color=#fddc1e>Pièces d'or</color>.\nVous <color=#cf0707>avez perdu {TableCoinsLost }</color> <color=#fddc1e>Pièces d'or</color>.",,,,,,,,,,,,,,
txt_aCMq8,Alright then... <i><color=#ffffff>(Back)</color></i>,,Très bien alors... <i><color=#ffffff>(Retour)</color></i>,,,,,,,,,,,,,,
dialogue_traderSplit1,How may I serve you?,,Comment puis-je vous servir ?,,,,,,,,,,,,,,
dialogue_traderSplit1a,Heard anything interesting lately?,,Avez-vous entendu quelque chose d'intéressant récemment ?,,,,,,,,,,,,,,
dialogue_traderSplit1b,I'm here to shop.,,Je suis ici pour commercer.,,,,,,,,,,,,,,
dialogue_traderSplit2,We currently have a sale going on. Be sure to buy while you can!,,Nous avons actuellement une vente en cours. Assurez-vous d'acheter pendant que vous le pouvez!,,,,,,,,,,,,,,
dialogue_traderSplit2a,Very good.,,Très bien.,,,,,,,,,,,,,,
dialogue_traderSplit2b,I'll pass.,,Je passerai.,,,,,,,,,,,,,,
dialogue_O2uWK,I've spent too long away from my family... My contract is almost up and i'll finally be able to go home.,,J'ai passé trop de temps loin de ma famille... Mon contrat est presque terminé et je vais enfin pouvoir rentrer chez moi.,,,,,,,,,,,,,,
dialogue_CKKaK,I heard there are fish up in the ponds on the Presidium. Do you think that's true?,,J'ai entendu dire qu'il y avait des poissons dans les étangs du Présidium. Pensez-vous que c'est vrai?,,,,,,,,,,,,,,
dialogue_W8uBS,"Polaris has good prices but poor quality merchandise. On the other hand, the Trade Federation's products are always top quality but are too expensive for my budget. What should I do?",,"Les Polaris ont de bons prix mais...  sur des marchandises de mauvaise qualité. Par contre, les produits de la Fédération du Commerce sont toujours de qualité supérieure mais trop chers pour mon budget. Que devrais-je faire?",,,,,,,,,,,,,,
dialogue_wWKTq,I heard an idiot keep insisting that TOP brewery makes root beer! That stuff has enough alcohol to degrease an engine!\nI know for a fact that you can treat infected wounds and dermal parasites with it!,,J'ai entendu un idiot qui soutenait que la cette brasserie était top car elle fabrique de la root beer ! Ce truc contient suffisamment d'alcool pour dégraisser un moteur !\nJe sais pertinemment que vous pouvez traiter les plaies infectées et les parasites cutanés avec !,,,,,,,,,,,,,,
dialogue_oKiaa,"I hear someone talking about a new simulation today, it's called 'Project Eden' and they say it is great!",,"J'ai entendu quelqu'un parler d'une nouvelle simulation aujourd'hui, ça s'appelle 'Project Eden' et il parait que c'est génial !",,,,,,,,,,,,,,
dialogue_aq0uu,I'm tired of life on this space station. Maybe I should sign up for one of the colonies in the outer reaches?,,Je n'en peux plus de cette vie à bord de cette station spatiale. Peut-être devrais-je m'inscrire dans l'une des ces colonies de la bordure extèrieur?,,,,,,,,,,,,,,
dialogue_4exuC,Why are there so few variants of alien life in this galaxy? You'd expect to see at least <i>something </i>different on each planet!,,Pourquoi y a-t-il si peu de vie extraterrestre dans cette galaxie ? On pourrait s'attendre à voir au moins <i>quelque chose </i>de différent sur chaque planète !,,,,,,,,,,,,,,
dialogue_OqiK0,Have you heard of 'Discord'? I heard they're a music group from Baymax 6.,,"Avez-vous entendu parler de 'Discord' ? J'ai entendu dire que c'était un groupe de musique de Baymax 6.",,,,,,,,,,,,,,
dialogue_4ieSe,"I heard strange noises coming from a vent on the last colony I visited, I couldn't sleep at all.",,"J'ai entendu des bruits étranges provenant d'un évent sur la dernière colonie que j'ai visitée, je n'ai jamais réussis à dormir.",,,,,,,,,,,,,,
dialogue_uqqiK,I can't wait to ship out of this dump. The goons from HabSec keep conducting 'random' searches on my bags. It's clearly discrimination!,,"J'ai hâte de pouvoir dégager de ce dépotoir. Les crétins de HabSec continuent de faire des fouilles 'au hasard' dans mes affaires. C'est clairement de la discrimination !",,,,,,,,,,,,,,
dialogue_3uku4,"A lot of people complain about the Zirax's governing. Honestly, I think they're fine. They could've regressed into complete tyranny but have kept to their treaties and keep the galaxy safe.",,"Beaucoup de gens se plaignent de l'empire Zirax. Honnêtement, je pense qu'ils ne sont pas si mal. Ils auraient pu régresser et basculer dans une tyrannie totale, mais finalement ils ont respecté leurs traités et ont protégé la galaxie.",,,,,,,,,,,,,,
dialogue_mqS04,"I've heard that Vermillion of Forge Aerospace has been contracted by Rados to build new bases for them. He has an apartment on one of the trade stations, but I don't know which.",,"J'ai entendu dire que Vermillion de Forge Aerospace avait été engagé par les Rados pour construire de nouvelles bases pour eux. Il a un appartement dans une des stations commerciales, mais je ne sais plus laquelle c'est.",,,,,,,,,,,,,,
dialogue_We84e,I'm looking for ship to Farpoint Station. Are you a Federation captain? No? Oh well.,,Je cherche une navette pour la station Farpoint. Êtes-vous un capitaine de la Fédération ? Non? Tant pis.,,,,,,,,,,,,,,
dialogue_uECW0,I saw an idiot flying a Naginata the other day. I suppose 'crashing' is probably the better term. Smashed right into the ground outside an Abyssal fortress on a Plasma planet!,,"J'ai vu un idiot piloter un Naginata l'autre jour. Je suppose que 'se crasher' est probablement le meilleur terme. Écrasé dans le sol aux abords d'une forteresse abyssale sur une planète Plasma !",,,,,,,,,,,,,,
dialogue_6pmsM,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_0EuCe,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_GOi8I,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_a4G8W,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_mOqee,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_eG9aS,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_Cm84a,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_WQGAa,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_SecG0,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_GC4S4,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_W8OqM,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_44OOm,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_04ila,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_Pqsuq,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_8uuOW,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_e8aaK,That Zirax blockade has seized three freighters coming into the system! I had cargo on both of them! Now they expect me to pay them to release MY cargo!,,"Ce blocus de Zirax a saisi trois cargos entrant dans le système ! J'avais du fret sur les deux ! Maintenant, ils s'attendent à ce que je les paie pour libérer MA cargaison !",,,,,,,,,,,,,,
dialogue_KWMmx,"Why do people keep calling these guns 'Epic'? We're not a bunch of dumb kids. These guns have proper military designations! What for the next series of weapons, huh? super-hyper-epic assault rifle? Grow up!",,"Pourquoi les gens continuent-ils d'appeler ces armes 'Epic' ? Nous ne sommes pas une bande d'enfants stupides. Ces armes ont des désignations militaires appropriées ! Et pour la prochaine série d'armes, hein ? fusil d'assaut super-hyper-épique ? Va falloir grandir!",,,,,,,,,,,,,,
dialogue_OCsS4,"I'm a huge fan of Plasma Cannons, but honestly... The rocket launcher is far easier to use.",,"Je suis un grand fan des canons à plasma, mais honnêtement... Le lance-roquettes est beaucoup plus facile à utiliser.",,,,,,,,,,,,,,
dialogue_WW401,I hear the new cruiser can make the Kessel run in just 12 parsecs!,,J'ai entendu dire que le nouveau croiseur pouvait faire le run de Kessel en seulement 12 parsecs !,,,,,,,,,,,,,,
dialogue_mCeu0,The new captain has a stick up his ass about procedure. At least if he runs out of ammo he can pull it out and use it as a backup weapon.,,"Le nouveau capitaine a un problème avec la procédure. Au moins, s'il manque de munitions, il peut les retirer et les utiliser comme arme de secours.",,,,,,,,,,,,,,
dialogue_YOwMq,I heard someone talking about a lost Polaris Superfreighter in the Ellyon system. 10 credits says they were shipping something they weren't meant to.,,J'ai entendu quelqu'un parler d'un super transporteur Polaris perdu dans le système Ellyon. 10 crédits qu'ils expédient quelque chose qu'ils n'étaient pas censés expédier.,,,,,,,,,,,,,,
dialogue_KKSeK,I love to look out the windows when we make planet fall for a survey mission.,,J'aime regarder par la fenêtre quand nous faisons défiler la planète lors d'une mission de surveillance.,,,,,,,,,,,,,,
dialogue_WiTWq,There are rumours about hidden pirate markets. I wonder if it would be cheaper to buy from them than Polaris?,,Il y a des rumeurs sur des marchés noirs pirates. Je me demande si ce serait moins cher d'acheter chez eux que chez les Polaris?,,,,,,,,,,,,,,
dialogue_6SG4t,I heard that a Tal'on ship was seen near the Outer Rim! The Tal'on with ships?! There haven't been Tal'on ships in centuries!,,J'ai entendu dire qu'un vaisseau Tal'on avait été vu près de la Bordure Extérieure ! Le Tal'on avec des vaisseaux?! Il n'y a pas eu de vaisseaux Tal'on depuis des siècles !,,,,,,,,,,,,,,
dialogue_G000a,"What's up with the captain's orders? He's always saying stuff like 'Engage', 'Make it so' and 'Energize'.",,"Que se passe-t-il avec les ordres du capitaine ? Il dit toujours des trucs comme 'Engager', 'Faites donc' et 'Dynamiser'.",,,,,,,,,,,,,,
dialogue_0UmSG,Elias Hummel just put out a new galactic survey: Which parts of Andromeda do you like best?,,Elias Hummel vient de publier une nouvelle étude galactique : Quelles parties d'Andromède préférez-vous ?,,,,,,,,,,,,,,
dialogue_0KcZq,I wonder what the mess hall has for dinner today?,,Je me demande ce que la cuisine nous a préparer pour le dîner aujourd'hui ?,,,,,,,,,,,,,,
dialogue_qa8S8,"Nice gun you have there, but aren't you a little short for a stormtrooper?",,"Joli pistolet que vous avez là, mais n'êtes-vous pas un peu court pour un stormtrooper ?",,,,,,,,,,,,,,
dialogue_aASCi,I heard Forge Aerospace designed the Tovera-Class Dreadnought. The guy that did it must really hate people! He told me to say that by the way.,,J'ai entendu dire que Forge Aerospace avait conçu le Dreadnought de classe Tovera. Le gars qui a fait ça doit vraiment détester les gens ! Il m'a dit de dire ça au fait.,,,,,,,,,,,,,,
dialogue_0SW4q,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_ae40Y,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_SSuuK,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_iUSim,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_SOeCe,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_QKSOp,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_KCeNm,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_Kqu0O,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_OO8VS,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_uii0T,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_q4aqS,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_OCceO,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_4kSGu,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_rH0eW,"Yes, I can speak Trade Standard, Terran. I go with the chief regularly to purchase supplies from the traders of Polaris.",,"Oui, je peux parler marchandage, Terrien. Je vais régulièrement avec le chef pour m'approvisionner auprès des commerçants Polaris.",,,,,,,,,,,,,,
dialogue_W4uva,I heard one of your people call an Erebus Spider a 'Giganpedibus Silex' does it mean something or do you just like inventing long-winded names for things?,,"J'ai entendu l'un de vos hommes appeler une araignée Erebus un 'Giganpedibus Silex', cela signifie-t-il quelque chose ou aimez-vous simplement inventer des noms à la con ?",,,,,,,,,,,,,,
dialogue_icCWa,Watch your footing in tall grass. Leafcutters will go for your legs!,,Regardez où vous mettez les pieds dans les hautes herbes. Les coupe-feuilles pourraient vous couper vos jambes !,,,,,,,,,,,,,,
dialogue_88GS4,"I do not trust you, Terran. Stay away from me and we shall have no problems.",,"Je ne te fais pas confiance, Terran. Reste loin de moi et nous n'aurons aucun problème.",,,,,,,,,,,,,,
dialogue_0mqi4,I am not supposed to be talking to you. Our chief is our contact with the outside world.,,Je ne suis pas censé te parler. Notre chef est le seul point de contact avec le monde extérieur.,,,,,,,,,,,,,,
dialogue_8COm4,You may think our crossbows are primitive but they are made from the best materials that are a rival to any rifle.,,"Vous pensez peut-être que nos arbalètes sont primitives, mais elles sont fabriquées à partir des meilleurs matériaux qui rivalisent avec n'importe quel fusil.",,,,,,,,,,,,,,
dialogue_K0KCK,Thankfully we can grow all the food we need. But hunting is still necessary for ingredients to be sold to Polaris.,,"Heureusement, nous pouvons cultiver toute la nourriture dont nous avons besoin. Mais la chasse est encore nécessaire pour que nous ayons suffisamment d'ingrédients à vendre aux Polaris.",,,,,,,,,,,,,,
dialogue_OQ7eO,"We may seem primitive to your eyes, Terran. Perhaps that is just what we want you to see?",,"Nous pouvons sembler primitifs à vos yeux, Terrien. Peut-être est-ce exactement ce que nous voulons que vous voyiez ?",,,,,,,,,,,,,,
dialogue_4qNGE,Every day the Zirax's grasp exceeds their reach. It is only a matter of time before they collapse under their own weight.,,"Chaque jour, l'emprise des Zirax est de plus en plus forte. Ce n'est qu'une question de temps avant qu'ils ne s'effondrent sur eux mêmes.",,,,,,,,,,,,,,
dialogue_OWm8Q,The Tal'on Protectorate once spanned this entire galaxy... Those days are long behind us now.,,Le protectorat de Tal'on s'étendait autrefois sur toute la galaxie... Ces jours sont désormais derrière nous depuis longtemps.,,,,,,,,,,,,,,
dialogue_iWaqC,Keep your heads down when a zirax passes overhead. I don't want their attention and i'm sure you don't either.,,Gardez la tête baissée lorsqu'un zirax passe au-dessus de votre tête. Je ne veux pas attirer leur attention et je suis sûr que vous non plus.,,,,,,,,,,,,,,
dialogue_ijGi0,I'm but a simple man trying to make my way in the galaxy.,,Je ne suis qu'un homme simple essayant de se frayer un chemin dans la galaxie.,,,,,,,,,,,,,,
dialogue_K0emu,You say you come from something milky? Is that a symbiotic relationship with a large organism?,,Vous dites que vous venez de quelque chose de laiteux ? Est-ce une relation symbiotique avec un organisme plus grand ?,,,,,,,,,,,,,,
dialogue_pCaiS,Outsiders always bring trouble.,,Les étrangers sont toujours des sources de problèmes.,,,,,,,,,,,,,,
dialogue_VmimW,Many of the plants we now cultivate are from the wrecked ships of your people. They are most unnatural in how fast they grow. I suspect they have been altered.,,La plupart des plantes que nous cultivons aujourd'hui proviennent d'épaves de votre peuple. Elles ont l'aire contre-nature au vue de leurs vitesses de pousse. Je soupçonne qu'elles ont été modifiées.,,,,,,,,,,,,,,
dialogue_qaKb4,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_0uCa0,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_8vSiC,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_9WC40,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_LPCuS,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_Gum01,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_qOm0W,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_i4iH8,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_LO84S,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_uu8K8,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_gmSGu,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_ugMim,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_eeem0,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_K80iW,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_eSmCS,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_G8uaC,Glory to the empire! Long may the Empress reign!,,Gloire à l'empire ! Longue vie à l'Impératrice et que long soit son règne !,,,,,,,,,,,,,,
dialogue_GHOuC,"Do not speak to me so casually, Terran. I do not know you.",,"Ne me parle pas avec tant de désinvolture, Terrien. Je ne vous connais pas.",,,,,,,,,,,,,,
dialogue_eOKI0,The War of Silence crippled the Empire. Change is necessary for our continued existence.,,La Guerre du Silence a paralysé l'Empire. Le changement est nécessaire afin que nous puissions contiuer à exister.,,,,,,,,,,,,,,
dialogue_uiW4C,I do not trust the House of Abyssal. They are not what they seem.,,Je ne fais pas confiance à la Maison Abyssale. Ils ne sont pas ce qu'ils semblent être.,,,,,,,,,,,,,,
dialogue_W0a0W,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_GiuGW,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_4CWm8,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_CGW4m,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_OWiGC,We are unstoppable.,,Nous sommes inarrêtables.,,,,,,,,,,,,,,
dialogue_qu8KW,Andromeda belongs to us!,,Andromède nous appartient !,,,,,,,,,,,,,,
dialogue_a8WWW,The galaxy is rightfully ours!,,La galaxie nous appartient à juste titre !,,,,,,,,,,,,,,
dialogue_uKaiG,Someday we will invade your world.,,"Un jour, nous envahirons votre monde.",,,,,,,,,,,,,,
dialogue_emSaS,Our clones are tended to with the finest care!,,Nos clones sont soignés avec le plus grand soin !,,,,,,,,,,,,,,
dialogue_OGamS,Any fleet is no match for ours.,,Aucune flotte ne peut rivaliser avec la nôtre.,,,,,,,,,,,,,,
dialogue_KeqmK,You lose more ships to us by the cycle.,,Vous perdez plus de vaisseaux que nous par cycle.,,,,,,,,,,,,,,
dialogue_0WG0q,The Rados handle our logistics.,,Les Rados s'occupent de notre logistique.,,,,,,,,,,,,,,
dialogue_S48Oi,The Gh'yst are listening...,,Les Gh'yst écoutent...,,,,,,,,,,,,,,
dialogue_i0Sae,Few can match the military of the Xenu!,,Rares sont ceux qui peuvent égaler l'armée des Xenu !,,,,,,,,,,,,,,
dialogue_Jwe80,"The Epsilon run our communications ... wait, why am I telling you this?!",,"L'Epsilon gère nos communications... attendez, pourquoi je vous dis ça ?!",,,,,,,,,,,,,,
dialogue_Se8Ga,"For now, you are allowed here, but next time we meet, I will end you.",,"Pour l'instant, tu es autorisé ici, mais la prochaine fois que nous nous verrons, je t'achèverai.",,,,,,,,,,,,,,
dialogue_AO6O0,"Our drones, are, everywhere.",,"Nos drones, sont, partout.",,,,,,,,,,,,,,
dialogue_KS4em,You exist because we allow it.,,Vous existez parce que nous vous le permettons.,,,,,,,,,,,,,,
dialogue_4Vc6m,"No alliances, only the Zirax Empire.",,"Pas d'alliances, seulement l'Empire Zirax.",,,,,,,,,,,,,,
dialogue_GmCue,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_qOSGC,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_mO44I,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_KaCea,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_m4eKM,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_CK8Wi,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_GS4OW,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_0a6iG,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_OCqKe,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_iqKWO,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_GiqWC,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_W4D4w,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_WCaqW,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_qUTF2,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_at800,<i>(leave)</i>,,<i>(partir)</i>,,,,,,,,,,,,,,
dialogue_ame0a,"Waste management? Weapons? Manufacturing? Polaris does it all!\nI'm paid to say that. Honestly, I wouldn't trust Polaris' waste management.",,"La gestion des déchets? Armes? Fabrication? Les Polaris font tout !\nJe suis payé pour dire ça. Honnêtement, je ne ferais pas confiance au Polaris sur leur gestion des déchets.",,,,,,,,,,,,,,
