KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
txt_mquKm,Descend into the mine,,Descendre dans la mine,,,,,,,,,,,,,,
txt_OOi8c,"Ok, this seems to be the container. Let's look inside.",,"Ok, ça semble être le container. Regardons à l'intérieur...",,,,,,,,,,,,,,
txt_m80oi,Investigate,,Enquêter,,,,,,,,,,,,,,
txt_W8e6u,Check the container's content,,Vérifier le contenu du container,,,,,,,,,,,,,,
txt_KWOe0,There is a pile of cloth and there is... really only a stick! \n\nThis is the [c][ffffff]Staff of Guidance[-][/c]?,,"Il y a un tas de tissu et ... un bâton! \n\nSerait-ce [ffffff]«LE» Bâton de Guide[-]? 
",,,,,,,,,,,,,,
txt_Oiq0q,Foreign Intel,,Services de renseignement,,,,,,,,,,,,,,
txt_oa4W0,Escape from the mining facility,,Quittez la Station minière,,,,,,,,,,,,,,
txt_uOOmS,Escape,,Quittez la station,,,,,,,,,,,,,,
txt_mOeiS,Make your way to your vessel,,Retourner à votre vaisseau,,,,,,,,,,,,,,
txt_ueuCu,[i][c][ff0000][Zirax Trooper][-][/c][c][ff8080] YOU over there! What are you doing here? Freeze![-][/c][/i],,[i][ff0000][Soldat Zirax][-][ff8080] VOUS là-bas! Que faîtes-vous ici! Ne bougez plus![-][/i],,,,,,,,,,,,,,
txt_q8quK,Powers of the Past,,Pouvoirs du Passé,,,,,,,,,,,,,,
txt_00m4O,Find answers in the guts of the planet remnant asteroid,,Trouver des réponses au coeur de l'astéroïde,,,,,,,,,,,,,,
txt_CAYeS,Find the Planetary Remnant,,Trouver l'autre station minière,,,,,,,,,,,,,,
txt_Coiie,Find the Planet Remnant,,Trouver l'autre station minière,,,,,,,,,,,,,,
txt_4KGiO,"The same station we just escaped from... just a little bit more menacing. \nLet's see if the Staff of Guidance will lead us through this.\n\nWe'll [c][ffff80]land on the lower pad[-][/c] this time,\nnext to the perimeter beacon.",,La même station que celle que nous venons de quitter... juste un peu plus menaçante. \nVoyons voir si le «Baton de guide» va nous être d'une grande aide . \n\nNous allons [ffff80]atterrir sur la plateforme inférieur[-] cette fois. \nPrès de la balise périmétrique.,,,,,,,,,,,,,,
txt_Swi4m,Powers of the Past,,Pouvoirs du Passé,,,,,,,,,,,,,,
txt_W00ie,Check the Control Room,,Vérifier la salle de contrôle,,,,,,,,,,,,,,
txt_0K2am,Check the Perimeter Beacon,,Balise périmétrique,,,,,,,,,,,,,,
txt_U8WWW,Land on the lower landing pad,,Atterrir sur le quai inférieur.,,,,,,,,,,,,,,
txt_4iqO8,"I suggest we start up in the control room. \n\nHopefully there are some data notes we can access, IDA?",,"Je suggère de commencer par la salle de contrôle. \n\nIDA, y a-t'il des données auxquelles nous pouvons accéder?",,,,,,,,,,,,,,
txt_eeK0V,Check the Control Room,,Accès salle de contrôle,,,,,,,,,,,,,,
txt_mG0e6,Proceed up to the control room,,Monter jusqu'à la salle de contrôle,,,,,,,,,,,,,,
txt_WSq0W,[c][00ffff][IDA][-][/c] An access terminal should be somewhere on the upper levels.,,[00ffff][IDA][-] Un terminal d'accès doit se trouver quelque part aux niveaux supérieurs.,,,,,,,,,,,,,,
txt_Omkq4,Powers of the Past,,Pouvoirs du Passé,,,,,,,,,,,,,,
txt_KSCem,Find the data nodes,,Trouver les blocs de données,,,,,,,,,,,,,,
txt_WW80m,Find the terminal,,Trouver le terminal,,,,,,,,,,,,,,
txt_4Kemi,Find the terminal on the upper level,,Trouver le terminal au niveau supérieur,,,,,,,,,,,,,,
txt_W4Ger,Powers of the Past,,Pouvoirs du Passé,,,,,,,,,,,,,,
txt_5WuK9,Find a way down to the mine shaft,,Trouver un chemin vers le puits de mine,,,,,,,,,,,,,,
txt_uaGUq,So .. the Zirax and the Talon share some history?\nAnd the proof is hidden down below in this asteroid?\n\nOk... [c][ffff00]downstairs [-][/c]again.,,"Donc.. les Zirax et les Talons partageraient un passé commun? \nEt la preuve est cachée au coeur de cet astéroïde? \n\nOk.. [ffff00]on descent,[-] encore!",,,,,,,,,,,,,,
txt_4eK1K,Go to the mine shaft,,Descendre au puits de mine,,,,,,,,,,,,,,
txt_m08Oe,Go to the mine shaft entrance,,Aller à l'entrée du puits de mine,,,,,,,,,,,,,,
txt_0W4Ce,Powers of the Past,,Pouvoirs du passé,,,,,,,,,,,,,,
txt_TeOqm,Descend into mine,,Descendre dans la mine,,,,,,,,,,,,,,
txt_SremW,Descend into the mine,,Descendre dans la mine,,,,,,,,,,,,,,
txt_8OO0e,"Oh, how convenient. Someone has put some [c][ffff80]lights to mark the way[-][/c]. \n\nFollow the red string, down into the abyss.",,"Pratique.. L'éclairage a été installé [ffff80]pour baliser le chemin[-].\n\nSuivons la lumière, dans les ténèbres...",,,,,,,,,,,,,,
txt_K0BaK,Powers Of The Past,,Pouvoirs du Passé,,,,,,,,,,,,,,
txt_AS4Sa,Follow the red string,,Suivre les balises,,,,,,,,,,,,,,
txt_40SuG,Follow the red lights,,Suivre l'éclairage balisé,,,,,,,,,,,,,,
txt_GOWe4,Follow the red string,,Suivre les balises,,,,,,,,,,,,,,
txt_imQa0,These materials. The inscriptions. \n\nVery familiar.,,"Ces matériaux, les inscriptions.\n\nTrès familier...",,,,,,,,,,,,,,
txt_C8KOc,Powers Of The Past,,Pouvoirs du Passé,,,,,,,,,,,,,,
txt_mOe08,Powers Of The Past,,Pouvoirs du Passé,,,,,,,,,,,,,,
txt_COCuG,Powers Of The Past,,Pouvoirs du Passé,,,,,,,,,,,,,,
txt_CSEKK,Follow the red lights,,Suivre l'éclairage balisé,,,,,,,,,,,,,,
txt_e8mim,Follow the red string,,Suivre les balises,,,,,,,,,,,,,,
txt_mKq0u,Follow the red lights,,Suivre l'éclairage balisé,,,,,,,,,,,,,,
txt_4OIJq,Follow the red string,,Suivre les balises,,,,,,,,,,,,,,
txt_OuS4a,A subterranean facility? \n\nWhat are these Zirax and creatures doing down here?,,Une installation souterraine? \n\nQue font les Zirax et ces créatures ici?,,,,,,,,,,,,,,
txt_SqCa8,Follow the red lights,,Suivre l'éclairage balisé,,,,,,,,,,,,,,
txt_SOS4i,Follow the red lights,,Suivre l'éclairage balisé,,,,,,,,,,,,,,
txt_iui0m,Definitely not a military compound. \n\nSome sort of a ... temple? An ancient worshiping place?,,Ça ressemble pas vraiment à un complexe militaire.\n\nUne sorte de... temple? Un ancien lieu de culte?,,,,,,,,,,,,,,
txt_ueCCW,Powers of the Past,,Pouvoirs du Passé,,,,,,,,,,,,,,
txt_W8W0e,Follow the red lights,,Suivre l'éclairage balisé,,,,,,,,,,,,,,
txt_cuI1S,Follow the red lights,,Suivre l'éclairage balisé,,,,,,,,,,,,,,
txt_KxSA4,[c][00ffff][IDA] [-][/c]I am reading extremely high energy fluctuations ... and ... someone is trying to access my databases!\n\n The info I managed to decode has some ... interesting implications.,,[00ffff][IDA][-] J'enregistre des fluctuations d'énergie extrêmement élevées... et ...quelqu'un essaie d'accéder à mes bases de données.\nLes informations que j'ai réussi à décoder ont des ...implications intéressantes.,,,,,,,,,,,,,,
txt_uS8Gu,Powers of the Past,,Pouvoirs du Passé,,,,,,,,,,,,,,
txt_0Ci0C,Enter the AI Core,,Pénétrer le noyau de l'IA,,,,,,,,,,,,,,
txt_Oq8GG,Investigate room,,Explorer la zone,,,,,,,,,,,,,,
txt_Smm0O,Investigate what lies ahead,,Continuer d'enquêter,,,,,,,,,,,,,,
txt_PW4m0,[c][00ffff][IDA][-][/c] The information we got indicates this is part of an ancient station ... of the so-called  [c][ffffff]Talon-Zirax Assembly[-][/c]!\n  \nWhat lies in front of you seems to be one of the sections with the AI core and some databases.,,[00ffff][IDA][-] Les informations décryptées indiquent que ce lieu fait partie d'une ancienne station... apparemment nommée [-]Assemblée Talon-Zirax [00ffff]! \nCe qui se trouve devant vous semble être l'une des sections hébergeant le noyau IA et des bases de données.,,,,,,,,,,,,,,
txt_e4m8e,Powers of the Past,,Pouvoirs du Passé,,,,,,,,,,,,,,
txt_jU8qq,Talk to the AI,,Parler à l'IA,,,,,,,,,,,,,,
txt_qna0i,Activate the AI and gather all available data,,Activer l'IA et collectez toutes les données disponibles.,,,,,,,,,,,,,,
txt_GKiFO,Powers of the Past,,Pouvoirs du Passé,,,,,,,,,,,,,,
txt_6iagq,Check Panel 1,,Vérifier Panneau 1,,,,,,,,,,,,,,
txt_umqee,Read carefully,,Lire attentivement,,,,,,,,,,,,,,
txt_GoCM4,[c][00ffff][IDA][-][/c] I am receiving a data stream with blueprints of the weapon described on the panel!,,[00ffff][IDA][-] Réception d'un flux de données avec les plans d'une arme affichés sur le panneau!,,,,,,,,,,,,,,
txt_aeiCe,Check Panel 2,,Vérifier Panneau 2,,,,,,,,,,,,,,
txt_i4Guq,Read Carefully,,Lire attentivement,,,,,,,,,,,,,,
txt_SCSmS,"[c][00ffff][IDA] [-][/c]I am receiving a secondary data stream. \n\nAgain, all construction details of the weapon described on the panel!",,"[00ffff][IDA][-] Réception d'un flux de données secondaire. \n\nComme auparavant, tous les détails de construction de l'arme sont affichés sur le panneau!",,,,,,,,,,,,,,
txt_mWaSG,Check Panel 3,,Vérifier Panneau 3,,,,,,,,,,,,,,
txt_7heK4,Read carefully,,Lire attentivement,,,,,,,,,,,,,,
txt_u08OS,IDA? I have a strong feeling that this information might change everyone's understanding of what happens here in Andromeda.,,IDA? Je suis convaincu que ces informations pourraient permettre à tout le monde de comprendre vraiment ce qui se passe ici à Andromède.,,,,,,,,,,,,,,
txt_mCC4G,Powers Of The Past,,Pouvoirs du Passé,,,,,,,,,,,,,,
txt_SWOS4,[c][00ffff][IDA][-][/c] Indeed. I'm already analyzing the text on the displays.\n\nWe should [c][fbff00]head back to Sectioner32[-][/c] and deliver these weapon schematics.,,[00ffff][IDA][-] Affirmatif. J'analyse déjà le texte des panneaux de données.[-] \n[00ffff]\nNous devrions retourner voir Sectioner32[-] et lui communiquer les plans de l'arme.,,,,,,,,,,,,,,
txt_W0Kmi,Debriefing,,Débriefing,,,,,,,,,,,,,,
txt_iGqCq,Talk to Sectioner32,,Parler à Sectioner32,,,,,,,,,,,,,,
txt_eKoiu,Activate Teleporter,,Utiliser le téléporteur,,,,,,,,,,,,,,
txt_mOG44,Activate Teleporter,,Utiliser le téléporteur,,,,,,,,,,,,,,
txt_iSEqu,Go to mine shaft,,Descendre au puits de mine,,,,,,,,,,,,,,
txt_40qCS,Go to Polaris Asteroid Mining Station,,Rejoindre la Station minière Polaris,,,,,,,,,,,,,,
txt_K48Ca,Go to Polaris Asteroid Mining Station. The station can be found in the [c][fbff00]asteroid belt[-][/c] in this system!,,Rejoindre la station minière Polaris. Elle doit se trouver dans la [fbff00]ceinture d'astéroïdes[-] dans ce système !,,,,,,,,,,,,,,
txt_0qqsO,Debriefing,,Débriefing,,,,,,,,,,,,,,
txt_C6DKK,Go to trading station again,,Retourner à la station de commerce,,,,,,,,,,,,,,
txt_G408S,Back to Waystation,,Retourner à la station de commerce,,,,,,,,,,,,,,
txt_C0Ke8,Back to Waystation,,Retourner à la station de commerce,,,,,,,,,,,,,,
txt_CaOKn,IDA .. I have a feeling that we are not in this galaxy by any accident.,,IDA.. J'ai le sentiment que nous ne sommes pas dans cette galaxie par hasard.,,,,,,,,,,,,,,
txt_80Oeg,Meet Sectioner32,,Rencontrer Sectioner32,,,,,,,,,,,,,,
txt_i8mWG,Meet Sectioner32,,Rencontrer Sectioner32,,,,,,,,,,,,,,
acttitleEpsilonA,Epsilon Base,,Base Epsilon,,,,,,,,,,,,,,
actdescConquerAS,"Defeat an alien faction base by destroying the core! Notice: You must use projectile weapons to destroy its core - you cannot use explosives (e.g. rocket launcher, explosive device, etc)",,"Conquérir une Base de faction Alien se fait en détruisant le noyau de la structure! \nNote: Vous devez utiliser des armes à feu pour détruire le noyau et non des explosifs (lance-roquettes, engin explosif, etc.)",,,,,,,,,,,,,,
acttitleXenuO,Xenu Base,,Base Xenu,,,,,,,,,,,,,,
acttitleGhostRM,Ghyst Base,,Base Ghost Rider,,,,,,,,,,,,,,
acttitleRados,Rados Base,,Base Rados,,,,,,,,,,,,,,
chptitleMiningC,Mining Corp,,Minage Corporate,,,,,,,,,,,,,,
chpdescMiningC,Preparing an Assault means preparing the Basics. And the Basics are run by ores. Prepare your team and let's go!,,Préparer un assaut veut dire préparer les basiques. Et la gestion des ressources fait partie des basiques. Préparez votre équipe et Allons-y !,,,,,,,,,,,,,,
tasktitleMiningCo,Mining Corp,,Minage Corporate,,,,,,,,,,,,,,
acttitlePromMC,1000 Promethium Ore,,Minerai de prométhium 1000,,,,,,,,,,,,,,
actdescPromMC,Mine 1000 Promethium Ore. Buying from a marketplace or just having it in your inventory does not complete this Mission!,,Extraire 1000 minerais de Promethium. Les acheter depuis un marché ou juste les avoir dans votre inventaire ne vous permettra pas terminer pas cette Mission !,,,,,,,,,,,,,,
acttitleMagMC,1000 Magnesium Ore,,Minerai de magnésium 1000,,,,,,,,,,,,,,
actdescMagMC,Mine 1000 Magnesium Ore. Buying from a marketplace or just having it in your inventory does not complete this Mission!,,Extraire 1000 minerais de Magnésium. Les acheter depuis un marché ou juste les avoir dans votre inventaire ne vous permettra pas terminer pas cette Mission !,,,,,,,,,,,,,,
acttitleCobaltMC,1000 Cobalt Ore,,Minerai de cobalt de 1000,,,,,,,,,,,,,,
actdescCobaltMC,Mine 1000 Cobalt Ore. Buying from a marketplace or just having it in your inventory does not complete this Mission!,,Extraire 1000 minerais de Cobalt. Les acheter depuis un marché ou juste les avoir dans votre inventaire ne vous permettra pas terminer pas cette Mission !,,,,,,,,,,,,,,
acttitleSathMC,500 Sathium Ore,,500 Sathium minerai,,,,,,,,,,,,,,
actdescSathMC,Mine 500 Sathium Ore. Buying from a marketplace or just having it in your inventory does not complete this Mission!,,Extraire 500 minerais de Sathium. Les acheter depuis un marché ou juste les avoir dans votre inventaire ne vous permettra pas terminer pas cette Mission ! !,,,,,,,,,,,,,,
acttitleNeoMC,500 Neodymium Ore,,Minerai de néodyme 500,,,,,,,,,,,,,,
actdescNeoMC,Mine Neodymium Ore. Buying from a marketplace or just having it in your inventory does not complete this Mission!,,Extraire 500 minerais de Néodynium. Les acheter depuis un marché ou juste les avoir dans votre inventaire ne vous permettra pas terminer pas cette Mission !,,,,,,,,,,,,,,
chptitleGasStation,Gas Station,,Station essence,,,,,,,,,,,,,,
chpdescGasStation,Your team's battleships will need a lot of fuel for flying around and maybe a few Pentaxid warp crystals for traveling to other planets. Now it is the time to refuel and restock!,,Les vaisseaux de guerre de votre escouade auront besoin de beaucoup de carburant et peut-être de quelques cristaux de Pentaxide pour atteindre d'autres planètes. Il est temps maintenant de faire le plein de carburant et de ressources!,,,,,,,,,,,,,,
tasktitleGStation,Gas Station,,Station essence,,,,,,,,,,,,,,
acttitleGSlfp,Craft 1000 Large Fuel Packs,,Crafter 1000 grands packs de carburant,,,,,,,,,,,,,,
actdescGSlfp,Craft 1000 Large Fuel Packs. You'll need to mine or acquire 2500 Promethium Ore.,,Crafter 1000 grands packs de carburant. Vous aurez besoin de miner ou acquérir 2500 minerais de Promethium.,,,,,,,,,,,,,,
acttitleGSpenta,Craft 100 Pentaxid,,Crafter 100 Pentaxid,,,,,,,,,,,,,,
actdescGSpenta,Craft 100 Pentaxid. You'll need to mine or acquire 100 Pentaxid (raw material).,,Crafter 100 Pentaxid. Vous aurez besoin de miner ou acquérir 100 Pentaxid (matière première).,,,,,,,,,,,,,,
chptitlePfBMedi,Prepare for Battle MEDICAL,,Préparez-vous à la bataille médicale,,,,,,,,,,,,,,
chpdescPfBMedi,Get prepared for Bullets and Bites! Your team should always carry a few essential medics for use in bad situations in their backpacks.,,Préparez-vous pour des blessures et des morsures! Votre équipe devrait toujours avoir dans leur sac à dos les médicaments essentiels pour parer à tout problème éventuel.,,,,,,,,,,,,,,
tasktitlePfBMedical,Medical Preps,,Préparations médicales,,,,,,,,,,,,,,
acttitleHealthPack,15x Health Pack,,15x Pack régénérant,,,,,,,,,,,,,,
acttitleTraumaKit,10x Trauma Kit,,10x Kit trauma,,,,,,,,,,,,,,
acttitleDetoxKit,10x Detox Kit,,10x Kit Détox,,,,,,,,,,,,,,
acttitleDeconKit,5x Decontamination Kit,,5x Kit de décontamination,,,,,,,,,,,,,,
actdescDoctorsJournal,"For more Info about Status Effects, diseases and how to cure them, please read the DOCTOR'S JOURNAL in the Empyriopedia (F1)",,"Pour plus d'info sur les affections, maladies et comment les guerir, consultez le GUIDE DEMÉDECINE dans l'Empyriopedia (f1)",,,,,,,,,,,,,,
chptitlePfBSupport,Prepare for Battle LIFE SUPPORT,,Bataille pour la survie,,,,,,,,,,,,,,
chpdescPfBSupport,"Your group got all its Ammo and Medicals - but what if the battle takes longer than expected? Having some durable, less-perishable food and emergency oxygen in your backpack may decide about failure or success earlier than you might expect!",,"Votre groupe est bien équipé en munitions et médicaments. Mais que se passe-t-il si le combat dure plus longtemps que prévu ? Avoir quelques aliments non-perissables, et de l'oxygène d'urgence dans votre sac à dos peut décider de l'échec ou du succès de la mission plus que vous ne pensez !",,,,,,,,,,,,,,
tasktitlePfBSupp,Life Support,,Survie,,,,,,,,,,,,,,
acttitlePfBcannM,Cook 5x Canned Meat,,Cuisiner 5 conserves de viande,,,,,,,,,,,,,,
actdescPfBcannM,Cook 5x Canned Meat in the Food Processor.,,Cuisinez 5 conserves de viande dans le synthétiseur de nourriture.,,,,,,,,,,,,,,
acttitlePfBcannV,Cook 5x Canned Vegetables.,,Cuisiner 5 conserves de légumes.,,,,,,,,,,,,,,
actdescPfBcannV,Cook 5x Canned Vegetables in the Food Processor.,,Cuisinez 5 conserves de légumes dans le synthétiseur de nourriture.,,,,,,,,,,,,,,
chptitleRaidApoi,Defeat Alien POIs,,Conquérir POIs Alien,,,,,,,,,,,,,,
chpdescRaidApoi,Is your Group well prepared? Then go ahead and raid some well defended Bases of the Alien factions! Can you keep up with them?,,Votre groupe est bien préparé? Alors allez-y et faites des raids sur certaines Bases de faction Alien bien gardées. Y parviendrez-vous?,,,,,,,,,,,,,,
tasktitleRaidAlienP,Defeat Alien POIs,,Conquérir POIs Alien,,,,,,,,,,,,,,
txt_aqKi4,The Crashed Bird,,L'oiseau écrasé,,,,,,,,,,,,,,
txt_mquK8,Snow Planet,,Planète de glace,,,,,,,,,,,,,,
txt_40Oii,Find Wreckage,,Trouver l'épave du Titan,,,,,,,,,,,,,,
txt_gqiqS,It seems the Titan has broken into several parts...,,Il semble que le Titan se soit brisé en plusieurs parties.,,,,,,,,,,,,,,
txt_aK8GK,The Titan,,Le titan,,,,,,,,,,,,,,
txt_K0G4L,IDA,,IDA,,,,,,,,,,,,,,
txt_qSGWG,- -,,,,,,,,,,,,,,,,
txt_e8SO0,Wreckage,,,,,,,,,,,,,,,,
txt_KqweK,Me,,Moi,,,,,,,,,,,,,,
txt_oSCGW,- -,,,,,,,,,,,,,,,,
txt_m0Kg2,Knock Knock,,,,,,,,,,,,,,,,
txt_aCmG4,Find Outpost,,Trouver l'avant-poste,,,,,,,,,,,,,,
txt_mmuqG,Approach the COM ARRAY. Make sure to clear the area before going inside.,,,,,,,,,,,,,,,,
txt_miS0G,[c][00ffff][IDA][-][/c] Get us close to a [c][ffff00]station console[-][/c] so I can have a look in their database.,,,,,,,,,,,,,,,,
txt_COWWC,Access Console,,Entrer,,,,,,,,,,,,,,
txt_0mqem,Go inside and approach the marked console.,,Entrez dans le bâtiment,,,,,,,,,,,,,,
txt_mCOO4,Knock Knock,,Toc Toc,,,,,,,,,,,,,,
txt_0SSe4,Radar Station,,Salle du noyau,,,,,,,,,,,,,,
txt_O5Sa2,Core Room,,Trouver,,,,,,,,,,,,,,
txt_KC00K,Find the core room.,,Trouver la salle du noyau,,,,,,,,,,,,,,
txt_uC4qG,Radar Station,,Station radar,,,,,,,,,,,,,,
txt_4a0q8,Teleporter,,Trouver le téléporteur,,,,,,,,,,,,,,
txt_4GCm4,There is another teleporter in this station. You need to find it. Look for a GREEN room and signs that indicate authorized access only.,,"Je détecte un autre téléporteur dans cette station. Trouvez-le, recherchez une cache (de couleur verte). L'ouverture de la cache est liée à un commutateur placé à proximité.",,,,,,,,,,,,,,
txt_4AKKS,Knock Knock,,Toc Toc,,,,,,,,,,,,,,
txt_miQae,Mainframe,,Station déportée,,,,,,,,,,,,,,
txt_qS8a0,Arrival,,Rejoindre,,,,,,,,,,,,,,
txt_OuGei,The Mainframe is hovering over ground. The teleporter brings you back to the Radar Station entry room. From there you can teleport back to the COM Station.,,"Le téléporteur de la station déportée vous ramènera ici à la station radar. De là, reprenez le même téléporteur qui vous ramènera à l'avant poste.",,,,,,,,,,,,,,
txt_4OuSS,[c][00ffff][IDA][-][/c]  Seems like that station has taken a beating already. \n\nLocate the [c][ffff00]main access switch and pull it[-][/c] to release the info.,,[00ffff][IDA][-] Il semble que cette station ait déjà subit un assaut. \n\nLocalisez le [ffff00]commutateur d'accès principal[-] et activez-le afin de récupérer les données.,,,,,,,,,,,,,,
txt_S8SGC,Mainframe,,Unité centrale,,,,,,,,,,,,,,
txt_SS408,Release Info,,Récupérer les données,,,,,,,,,,,,,,
txt_aCi4O,Find the lever and pull it to release the blocked message.,,Trouvez le commutateur et activez-le pour libérer le message verrouillé.,,,,,,,,,,,,,,
pda_S8Oae,[c][00ffff]Really abort the mission? Please confirm![-][/c]\n[c][80ffff][-][/c]You can start the mission via PDA (F1) at any time.,,[80ffff]Souhaitez-vous interrompre la mission? Confirmer![-]\n\nVous pouvez redémarrer la mission via le PDA (F1) à tout moment.,,,,,,,,,,,,,,
pda_Y8eaV,Find and access the console on the bridge. \nCheck the containers for valuable loot.,,"Trouvez et accédez à la console sur la passerelle. \nVérifiez les containers, pour y trouver des ressources de valeur.",,,,,,,,,,,,,,
pda_8KCWw,[c][00ffff][IDA][-][/c] You should make a [c][fbff00]fly-by on all three parts[-][/c] for a better scan result.\n\n[c][fbff00]150m[-][/c] should be enough.,,[00ffff][IDA][-] Vous devriez [ffff00]survoler les trois parties[-] pour obtenir un meilleur scan. \n\n[00ffff]150m de distance[-] devrait suffire.,,,,,,,,,,,,,,
pda_K7Gma,The Titan,,Le Titan,,,,,,,,,,,,,,
pda_cq0em,The Titan,,Le Titan,,,,,,,,,,,,,,
pda_SGu0q,Me,,Moi,,,,,,,,,,,,,,
pda_SaiO4,Me,,Moi,,,,,,,,,,,,,,
pda_OCieK,- -,,,,,,,,,,,,,,,,
pda_GC8Qe,IDA? Any scanning results?,,"IDA, des résultats de scans?",,,,,,,,,,,,,,
pda_iqu8r,[c][00ffff][IDA][-][/c] Not yet.,,,,,,,,,,,,,,,,
pda_uuKKG,- -,,,,,,,,,,,,,,,,
pda_S8GOe,I am afraid we can't expect the Zirax to have left anything for us to find.,,J'ai bien peur que les Zirax ne nous ait pas laissé grand chose à trouver.,,,,,,,,,,,,,,
pda_QOuu8,Wreckage,,,,,,,,,,,,,,,,
pda_qO4Gu,Wreckage,,Épave,,,,,,,,,,,,,,
pda_JKiiK,Me,,Moi,,,,,,,,,,,,,,
pda_We448,- -,,,,,,,,,,,,,,,,
pda_eYkYG,[c][00ffff][IDA][-][/c]  There are some ... secret technical details of the construction they might have not found.,,[00ffff][IDA][-] Il y a peut-être quelques .. détails techniques secrets sur la construction qu'ils n'ont pas trouvés.,,,,,,,,,,,,,,
pda_GSGSq,IDA,,,,,,,,,,,,,,,,
pda_eGmWG,- -,,,,,,,,,,,,,,,,
pda_eGaWa,"Secrets, you say?",,"Secrets, tu dis?",,,,,,,,,,,,,,
pda_q4Wig,Wreckage,,,,,,,,,,,,,,,,
pda_GeWe8,Me,,Moi,,,,,,,,,,,,,,
